institution_name,12_Month_Enrollment
Morgan Community College,354
Naropa University,404
Nazarene Bible College,27
Northeastern Junior College,757
University of Northern Colorado,8094
Otero College,580
Pikes Peak State College,6149
Pueblo Community College,2150
Red Rocks Community College,3221
Regis University,2366
Rocky Mountain College of Art and Design,1217
Montessori Education Center of the Rockies,22
Colorado State University Pueblo,3357
Pickens Technical College,1161
Intellitec College-Colorado Springs,910
Intellitec College-Grand Junction,1531
Trinidad State College,872
United States Air Force Academy,4376
Empire Beauty School-Thornton,98
Western Colorado University,1909
Albertus Magnus College,828
Asnuntuck Community College,690
Bais Binyomin Academy,50
University of Bridgeport,2226
Central Connecticut State University,7647
Charter Oak State College,440
Cortiva Institute,41
Connecticut College,1842
Porter & Chester Institute of Hamden,440
University of Connecticut,18708
Goodwin University,662
Lincoln Technical Institute-East Windsor,984
Eastern Connecticut State University,4238
Fairfield University,4270
Paul Mitchell the School-North Haven,232
Connecticut State Community College,837
American Institute-West Hartford,564
University of Hartford,4353
Holy Apostles College and Seminary,97
Connecticut State Community College Housatonic,1785
Manchester Community College,2135
Naugatuck Valley Community College,2057
Middlesex Community College,855
Mitchell College,602
Three Rivers Community College,1292
Lincoln Technical Institute-New Britain,522
New England Tractor Trailer Training School of Connecticut,743
University of New Haven,4756
Connecticut State Community College Norwalk,1922
Northwestern Connecticut Community College,486
Paier College,60
Porter & Chester Institute,2533
Post University,5227
Quinebaug Valley Community College,571
Quinnipiac University,6681
Sacred Heart University,5386
University of Saint Joseph,854
Connecticut State Community College Gateway,2182
Southern Connecticut State University,7206
Stone Academy-West Haven,401
Trinity College,2261
Connecticut State Community College Tunxis,1695
United States Coast Guard Academy,1058
Wesleyan University,3166
Western Connecticut State University,4322
Yale University,7195
Margaret H Rollins School of Nursing at Beebe Medical Center,70
Dawn Career Institute LLC,537
Delaware Technical Community College-Terry,5098
Delaware State University,4008
University of Delaware,19087
Goldey-Beacom College,709
Schilling-Douglas School of Hair Design,103
Wesley College,1004
Wilmington University,3195
American University,8563
The Catholic University of America,3209
University of the District of Columbia,2129
Gallaudet University,1051
George Washington University,11435
Georgetown University,7036
Howard University,6429
Strayer University-District of Columbia,95
National Conservatory of Dramatic Arts,59
Trinity Washington University,978
Atlantic Technical College,4048
Baptist University of Florida,245
Barry University,3262
Bethune-Cookman University,2939
Lynn University,2333
North Florida Technical College,108
Eastern Florida State College,7167
Broward College,19652
Albizu University-Miami,73
College of Central Florida,3919
Johnson University Florida,182
University of Central Florida,45664
Charlotte Technical College,571
Chipola College,1014
Lorenzo Walker Technical College,723
Daytona State College,7835
South University-West Palm Beach,498
Eckerd College,2021
Florida SouthWestern State College,8498
Edward Waters University,965
Embry-Riddle Aeronautical University-Daytona Beach,6298
Florida Agricultural and Mechanical University,7299
Florida Atlantic University,18454
Florida State College at Jacksonville,13130
Flagler College,2951
Florida College,539
Concorde Career Institute-Jacksonville,1118
Concorde Career Institute-Miramar,809
Concorde Career Institute-Tampa,759
AdventHealth University,468
Florida Institute of Technology,3337
Florida Institute of Ultrasound Inc,72
Florida International University,31795
The College of the Florida Keys,585
Florida Memorial University,1098
Florida Career College-Miami,645
Florida School of Massage,130
Florida Southern College,2604
Florida State University,31479
University of Florida,33329
Fort Pierce Beauty Academy,24
Full Sail University,28185
George Stone Technical College,883
George T Baker Aviation Technical College,1053
Gulf Coast State College,2206
Key College,31
Hillsborough Community College,16887
Hobe Sound Bible College,111
Hollywood Institute of Beauty Careers,421
Cortiva Institute,166
Indian River State College,8407
International Academy,83
AI Miami International University of Art and Design,487
Jacksonville University,2678
Keiser University-Ft Lauderdale,12621
La Belle Beauty School,93
Florida Gateway College,1772
Lake Technical College,719
Lake-Sumter State College,1642
Fort Myers Technical College,1122
Lively Technical College,1120
Lindsey Hopkins Technical College,1174
Loraines Academy & Spa,105
Luther Rice College & Seminary,49
State College of Florida-Manatee-Sarasota,5503
Manatee Technical College,1564
Traviss Technical College,544
Merryfield Academy,61
Trinity International University-Florida,49
Miami Lakes Educational Center and Technical College,1542
Miami Dade College,34139
University of Miami,11212
Orange Technical College-South Campus,468
Paul Mitchell the School-Jacksonville,171
North Florida College,605
University of North Florida,11707
Nova Southeastern University,4777
Northwest Florida State College,3539
Orange Technical College,469
Palm Beach Atlantic University,2367
Palm Beach State College,14086
Pasco-Hernando State College,5419
Pensacola State College,5700
Pinellas Technical College-Clearwater,803
Polk State College,5314
Radford M Locklin Technical College,281
Ridge Technical College,343
Ringling College of Art and Design,1618
Robert Morgan Educational Center and Technical College,1250
Rollins College,2580
First Coast Technical College,604
Saint Leo University,8525
St Petersburg College,12616
Pinellas Technical College-St. Petersburg,1558
Santa Fe College,8275
Suncoast Technical College,1387
Seminole State College of Florida,8572
Sheridan Technical College,2093
St. John Vianney College Seminary,47
Saint Johns River State College,2939
South Florida State College,1446
University of South Florida,30317
St. Thomas University,1272
Stetson University,3328
Southeastern University,6050
Bene's Career Academy,422
Riveroak Technical College,118
Tallahassee Community College,8471
Talmudic College of Florida,31
Altierus Career College-Tampa,588
The University of Tampa,9252
Big Bend Technical College,160
Tom P. Haney Technical College,442
Trinity Baptist College,283
Trinity College of Florida,196
Valencia College,24430
Warner University,849
Florida Panhandle Technical College,257
Webber International University,673
Rasmussen University-Florida,6294
University of West Florida,7377
Orange Technical College-West Campus,113
William T McFatter Technical College,1495
Orange Technical College-East Campus,1974
Withlacoochee Technical College,496
Abraham Baldwin Agricultural College,2617
Agnes Scott College,1031
Interactive College of Technology-Chamblee,942
Interactive College of Technology-Morrow,140
Albany Technical College,1504
Albany State University,4485
Andrew College,189
The Art Institute of Atlanta,428
Georgia Career Institute,1008
Atlanta Technical College,1470
Point University,1089
Atlanta Metropolitan State College,939
Atlanta School of Massage,331
Clark Atlanta University,3415
Augusta Technical College,1871
Berry College,1935
Beulah Heights University,104
Brenau University,1303
Brewton-Parker College,512
College of Coastal Georgia,2174
West Georgia Technical College,1787
Clayton State University,4270
Columbus Technical College,1227
Columbus State University,4953
Georgia Northwestern Technical College,1861
Covenant College,902
Dalton State College,3242
Pro Way Hair School,121
South University-Savannah,323
East Georgia State College,2144
Emmanuel University,865
Emory University,7330
Georgia Highlands College,2988
Fort Valley State University,2178
Grady Health System Professional Schools,89
Georgia Institute of Technology-Main Campus,15465
Georgia Southwestern State University,1783
Georgia College & State University,5598
Georgia Southern University,20409
Georgia State University,23557
University of Georgia,29707
Gordon State College,2451
Southern Crescent Technical College,1378
Gupton Jones College of Funeral Service,593
Gwinnett College-Lilburn,205
Gwinnett Technical College,1731
LaGrange College,869
Lanier Technical College,1279
Life University,834
Chattahoochee Technical College,2975
Herzing University-Atlanta,575
Mercer University,4430
Morehouse College,2214
North Georgia Technical College,886
Oglethorpe University,1374
Paine College,329
Piedmont University,1212
Miami Ad School-Atlanta,67
Reinhardt University,1368
Savannah Technical College,1585
Savannah College of Art and Design,11924
Savannah State University,3167
Shorter University,1162
South Georgia Technical College,1142
The Creative Circus,236
Spelman College,2132
Thomas University,439
Toccoa Falls College,975
Truett McConnell University,872
Wiregrass Georgia Technical College,907
Valdosta State University,7323
Wesleyan College,541
University of West Georgia,8668
Young Harris College,945
Chaminade University of Honolulu,1486
University of Hawaii at Hilo,2391
University of Hawaii at Manoa,11381
Hawaii Institute of Hair Design,97
Hawaii Pacific University,2483
Honolulu Community College,1247
Kapiolani Community College,2489
Kauai Community College,358
Leeward Community College,2877
University of Hawaii Maui College,1071
University of Hawaii-West Oahu,1932
Windward Community College,703
Carrington College-Boise,659
Boise Bible College,81
Boise State University,13617
College of Eastern Idaho,836
Idaho State University,6661
University of Idaho,6848
The College of Idaho,1076
Lewis-Clark State College,2347
Aveda Institute-Twin Falls,87
Mr Leon's School of Hair Design-Moscow,16
North Idaho College,2301
Northwest Nazarene University,1116
Nathan Layne Institute of Cosmetology,59
Brigham Young University-Idaho,26289
College of Southern Idaho,2171
American Academy of Art College,159
American Islamic College,1
School of the Art Institute of Chicago,2911
Augustana College,2579
Aurora University,3855
Southwestern Illinois College,4085
Black Hawk College,2069
Blackburn College,515
Blessing Rieman College of Nursing and Health Sciences,164
Bradley University,4577
Paul Mitchell the School-Tinley Park,210
Cameo Beauty Academy,52
Cannella School of Hair Design-Villa Park,16
Cannella School of Hair Design-Chicago,16
Cannella School of Hair Design-Chicago,19
Capri Beauty College,17
Carl Sandburg College,901
The Chicago School at Chicago,16
Chicago State University,1525
University of Chicago,7112
City Colleges of Chicago-Kennedy-King College,1753
City Colleges of Chicago-Malcolm X College,3879
City Colleges of Chicago-Olive-Harvey College,1227
City Colleges of Chicago-Harry S Truman College,2626
City Colleges of Chicago-Richard J Daley College,3853
City Colleges of Chicago-Harold Washington College,4718
City Colleges of Chicago-Wilbur Wright College,5135
Columbia College Chicago,6132
Concordia University-Chicago,1457
Coyne College,792
Danville Area Community College,1101
Tricoci University of Beauty Culture,12
DePaul University,13320
Cosmetology & Spa Academy,382
College of DuPage,9351
East-West University,557
Eastern Illinois University,4222
Elgin Community College,3824
Elmhurst University,2852
Eureka College,532
"First Institute of Travel, Inc.",382
Fox College,721
Gem City College,41
Governors State University,2189
Graham Hospital School of Nursing,13
Greenville University,880
G Skin & Beauty Institute,307
Hair Professionals Career College,26
Hair Professionals School of Cosmetology,92
Hebrew Theological College,106
Highland Community College,751
University of Illinois Chicago,21076
Benedictine University,2272
University of Illinois Urbana-Champaign,33571
Illinois Wesleyan University,1632
Illinois Central College,3156
Illinois College,1070
Olney Central College,643
Illinois Institute of Technology,2981
Illinois State University,18191
Illinois Valley Community College,1236
John A Logan College,1905
John Wood Community College,1007
Joliet Junior College,5455
Judson University,979
Kankakee Community College,959
Kaskaskia College,1505
Kishwaukee College,1328
Knox College,1247
Educators of Beauty College of Cosmetology-Peru,55
College of Lake County,4682
Lake Forest College,1666
Lake Land College,3640
Lakeview College of Nursing,150
Lewis and Clark Community College,1772
Lewis University,3806
Lincoln Christian University,321
Lincoln College,796
Lincoln Land Community College,2500
Lincoln College of Technology-Melrose Park,1166
Loyola University Chicago,12122
Trinity College of Nursing & Health Sciences,147
Steven Papageorge Hair Academy,46
Generations College,271
McHenry County College,2444
McKendree University,1491
Methodist College,369
Millikin University,2003
Monmouth College,914
Moody Bible Institute,1899
Moraine Valley Community College,6034
Morrison Institute of Technology,95
Morton College,1319
National Louis University,2842
National University of Health Sciences,28
Cosmetology Concepts Niles,19
North Central College,2649
North Park University,1762
Northern Illinois University,11256
Northwestern University,8577
Northeastern Illinois University,3696
Oakton College,2792
Oehrlein School of Cosmetology,59
Olivet Nazarene University,2907
Parkland College,3179
Prairie State College,1746
Principia College,399
Professional's Choice Hair Design Academy,43
Quincy University,988
Rend Lake College,1237
Richland Community College,917
Rock Valley College,2922
Rockford University,1067
Roosevelt University,3514
Dominican University,2092
Rush University,68
Saint Francis Medical Center College of Nursing,304
University of St Francis,1510
St. John's College-Department of Nursing,119
Saint Xavier University,2886
University of Illinois Springfield,2018
Sauk Valley Community College,796
Shawnee Community College,797
St. Augustine College,848
Southeastern Illinois College,676
National Latino Education Institute,24
Spoon River College,595
Saint Anthony College of Nursing,189
Educators of Beauty College of Cosmetology-Sterling,54
Southern Illinois University-Carbondale,7721
Southern Illinois University-Edwardsville,9350
Taylor Business Institute,178
Telshe Yeshiva-Chicago,73
South Suburban College,1182
Tri-County Beauty Academy,14
Trinity Christian College,901
Trinity International University-Illinois,509
Triton College,3705
University of Spa & Cosmetology Arts,173
VanderCook College of Music,72
Waubonsee Community College,3166
Oak Point University,749
Western Illinois University,5743
Wheaton College,2384
William Rainey Harper College,5146
Anderson University,1269
Ball State University,15033
Bethel University,1028
Butler University,4561
Calumet College of Saint Joseph,700
College of Court Reporting Inc,86
Tricoci University of Beauty Culture-Highland,129
DePauw University,1971
Don Roberts School of Hair Design,44
Earlham College,973
University of Evansville,1899
Franklin College,886
Goshen College,770
Grace College and Theological Seminary,1381
Hanover College,1077
J Michael Harrold Beauty Academy,108
Holy Cross College,429
PJ's College of Cosmetology-Clarksville,186
Huntington University,890
Ivy Tech Community College,27333
Indiana University-Purdue University-Fort Wayne,5759
Indiana University-Purdue University-Indianapolis,18748
University of Indianapolis,4160
Indiana Institute of Technology,1468
University of Southern Indiana,6372
Indiana State University,8497
Indiana University-Kokomo,2477
Indiana University-South Bend,3716
Indiana University-Bloomington,32570
Indiana University-Northwest,2716
Indiana University-Southeast,3311
Indiana University-East,2221
International Business College-Indianapolis,410
Taylor Institute of Cosmetology II,32
Tricoci University of Beauty Culture-Lafayette,87
Empire Beauty School-Indianapolis,276
Lincoln College of Technology-Indianapolis,1258
Manchester University,1084
Marian University,2231
Indiana Wesleyan University-Marion,2584
Martin University,37
Mid-America College of Funeral Service,240
West Michigan College of Barbering and Beauty,30
University of Notre Dame,8829
Oakland City University,667
PJ's College of Cosmetology-Richmond,72
Ravenscroft Beauty College,161
Rogers Academy of Hair Design,124
Rose-Hulman Institute of Technology,1991
University of Saint Francis-Fort Wayne,1584
Saint Mary-of-the-Woods College,525
Saint Mary's College,1453
Saint Elizabeth School of Nursing,159
Taylor University,1826
Trine University,2160
Valparaiso University,2990
Vincennes Beauty College,39
Vincennes University,4999
Wabash College,871
Allen College,425
Briar Cliff University,700
Buena Vista University,1474
Capri College-Dubuque,207
Capri College-Cedar Rapids,216
Central College,1276
Clarke University,681
Coe College,1403
Cornell College,1038
Des Moines Area Community College,6685
Divine Word College,79
Dordt University,1336
Drake University,2870
University of Dubuque,1626
Ellsworth Community College,585
Emmaus Bible College,187
Eastern Iowa Community College District,2512
Faith Baptist Bible College and Theological Seminary,256
Graceland University-Lamoni,835
Grand View University,1781
Grinnell College,1715
Orion Technical College,231
Hawkeye Community College,2251
American Hair Academy,34
Indian Hills Community College,2447
Iowa Central Community College,3824
Iowa Lakes Community College,1055
UnityPoint Health-Des Moines School of Radiologic Technology,17
Iowa School of Beauty-Des Moines,147
Iowa State University,27335
Iowa Wesleyan University,603
Iowa Western Community College,3567
University of Iowa,21771
Kirkwood Community College,5803
La James International College-Cedar Falls,30
La James International College-Johnston,74
La James College of Hairstyling and Cosmetology,73
La James International College-Ft Dodge,29
Loras College,1296
Luther College,1953
Maharishi International University,385
Marshalltown Community College,755
Mercy College of Health Sciences,576
Morningside University,1220
Mount Mercy University,1163
Ashford University,62680
North Iowa Area Community College,1433
University of Northern Iowa,8596
Northwestern College,1007
Northeast Iowa Community College,1162
Northwest Iowa Community College,640
Iowa School of Beauty-Ottumwa,54
Palmer College of Chiropractic,50
PCI Academy-Ames,34
Saint Ambrose University,2183
St Luke's College,155
La James International College-Davenport,97
Simpson College,1223
Southeastern Community College,1156
Southwestern Community College,740
Capri College-Davenport,187
Iowa School of Beauty-Sioux City,68
SOHO Hair Academy,58
Upper Iowa University,1827
Waldorf University,2426
Wartburg College,1490
The Salon Professional Academy-Cedar Falls,58
Western Iowa Tech Community College,2008
William Penn University,1166
Allen County Community College,1012
Baker University,1150
Barton County Community College,3011
Benedictine College,1964
Bethany College,767
Bethel College-North Newton,463
Butler Community College,4086
Central Christian College of Kansas,722
Cloud County Community College,876
Coffeyville Community College,1137
Colby Community College,739
Cowley County Community College,1487
Dodge City Community College,1026
Donnelly College,195
Emporia State University,3273
Flint Hills Technical College,393
Fort Hays State University,6151
Barclay College,172
Friends University,932
Fort Scott Community College,1001
Garden City Community College,1228
Haskell Indian Nations University,851
Hays Academy of Hair Design,96
Hesston College,374
Highland Community College,1475
Hutchinson Community College,2136
Independence Community College,592
